시군구명,행정동명,총생활인구수,총노인시설수,입소정원,총노인생활인구수,노인생활인구비율,국민기초생활보장 수급권자,저소득노인,normal,Total bus,Total subway,Total Transportation,전체인구,65세이상 인구,고령자 비율,총독거노인수,노인시설수요량,Cluster_Labels
중랑구,중화2동,25087.93301,0,29,3426.944097,7.320788521,755,33,977,28,1,29,24926,5183,4.80918387,1765,60.86206896551724,3
중랑구,묵1동,24650.23534,0,29,3194.897219,7.715501829,337,28,841,31,1,32,34344,6145,5.588934093,1206,41.58620689655172,0
중랑구,묵2동,18347.44489,0,29,2274.471049,8.066686491,319,31,629,20,0,20,18624,3762,4.950558214,979,33.758620689655174,3
중랑구,망우3동,11024.19459,0,29,1645.730123,6.698664887,528,24,625,10,0,10,16303,3505,4.651355207,1177,40.58620689655172,3
중랑구,신내1동,33076.72461,0,29,3941.022636,8.392929364,526,44,771,49,2,51,38205,7204,5.30330372,1341,46.241379310344826,0
중랑구,신내2동,17158.0808,0,29,2497.142353,6.871086375,493,28,701,21,1,22,20155,4297,4.690481731,1222,42.13793103448276,3
중랑구,면목본동,26370.54606,0,29,3242.991523,8.131549488,791,44,1205,27,1,28,33856,6355,5.327458694,2040,70.34482758620689,0
중랑구,망우본동,40005.16754,0,29,4795.70537,8.3418735,854,39,1201,59,4,63,35905,6837,5.251572327,2094,72.20689655172414,0
성북구,돈암1동,12256.11859,0,29,1844.008038,6.646456163,370,14,329,11,0,11,14474,2988,4.844042838,713,24.586206896551722,1
성북구,돈암2동,13693.33876,0,29,1558.868615,8.784151934,198,16,381,33,0,33,23657,3648,6.484923246,595,20.517241379310345,3
성북구,안암동,27724.07152,0,29,1822.785118,15.20973111,179,18,420,30,2,32,17118,2113,8.101277804,617,21.275862068965516,1
성북구,보문동,15573.25256,0,29,1785.533596,8.721903968,200,19,496,10,1,11,16712,2588,6.457496136,715,24.655172413793103,1
성북구,길음1동,34012.78981,0,29,3219.644326,10.56414509,344,27,517,30,2,32,35000,4818,7.264425073,888,30.620689655172413,3
성북구,길음2동,18238.80908,0,29,2075.721872,8.786730693,294,16,370,22,0,22,21728,3112,6.982005141,680,23.448275862068964,1
성북구,월곡1동,25327.12932,0,29,2824.916052,8.965621933,466,15,637,25,0,25,26169,4922,5.316741162,1118,38.55172413793103,3
성북구,월곡2동,21841.90214,0,29,2653.640186,8.230920776,353,17,525,28,2,30,19739,3729,5.29337624,895,30.862068965517242,3
성북구,장위1동,21655.23647,0,29,2656.708094,8.151153871,577,14,550,34,0,34,24082,4210,5.720190024,1141,39.3448275862069,3
성북구,장위2동,12115.42795,0,29,1862.613901,6.504529975,414,15,419,27,1,28,13622,3146,4.329942784,848,29.24137931034483,1
성북구,장위3동,8376.712836,0,29,984.7140254,8.50674675,202,13,252,34,0,34,15868,2193,7.235750114,467,16.103448275862068,1
성북구,성북동,20029.27524,4,29,2278.938747,8.788860722,166,15,589,47,1,48,16889,3092,5.462160414,770,22.551724137931036,1
성북구,삼선동,25794.12626,0,29,2370.935002,10.87930552,369,21,678,39,2,41,23044,4026,5.72379533,1068,36.827586206896555,3
성북구,동선동,25385.16894,0,29,2032.15823,12.49172853,194,13,401,18,1,19,15870,2196,7.226775956,608,20.96551724137931,1
성북구,종암동,37690.85888,19,22,4305.273997,8.754578434,613,19,1106,56,0,56,40111,6990,5.738340486,1738,60.0,0
성북구,석관동,26404.14704,8,29,3694.527833,7.146825857,699,24,1148,29,1,30,35315,7494,4.712436616,1871,56.51724137931035,0
강북구,번1동,17811.94093,0,29,2297.420795,7.753016323,380,35,1163,23,1,24,18578,3811,4.874836001,1578,54.41379310344828,3
강북구,번2동,11704.72484,0,29,2001.168839,5.848944184,548,96,1250,41,0,41,15397,4124,3.733511154,1894,65.3103448275862,3
강북구,번3동,14479.44704,0,29,2832.736853,5.111469153,857,88,1587,35,0,35,16449,4787,3.436181324,2532,87.3103448275862,3
강북구,수유1동,16701.63783,0,29,2485.305284,6.720155443,470,55,1318,39,2,41,20501,4577,4.479134804,1843,63.55172413793103,3
강북구,수유2동,16899.03589,0,29,2740.227556,6.167019178,419,54,1237,12,1,13,21054,5126,4.107296137,1710,58.96551724137931,3
강북구,수유3동,27698.70864,0,29,3242.434665,8.542564925,488,49,1473,25,0,25,23778,4804,4.949625312,2010,69.3103448275862,3
강북구,삼양동,21605.83224,0,29,3434.350243,6.291097503,546,65,1511,31,3,34,23090,5019,4.600518031,2122,73.17241379310344,3
강북구,미아동,22148.33645,47,16,3173.804722,6.978481157,445,76,1484,26,2,28,21685,4627,4.686622001,2005,78.3125,2
강북구,송중동,34034.61077,0,29,4603.956327,7.392470378,481,69,1574,57,2,59,29910,6215,4.812550282,2124,73.24137931034483,0
강북구,송천동,26162.82793,0,29,3884.121118,6.735842457,675,69,1990,17,1,18,25998,6280,4.139808917,2734,94.27586206896552,0
강북구,삼각산동,20099.48096,0,29,2285.146658,8.795707222,515,49,1096,21,2,23,30939,4711,6.567395457,1660,57.241379310344826,3
강북구,우이동,18995.1833,3,29,2899.627067,6.550905638,331,68,1328,33,6,39,20407,4998,4.083033213,1727,56.55172413793103,3
강북구,인수동,25655.2149,0,29,4127.451207,6.215752439,605,81,1978,50,1,51,29916,7228,4.138904261,2664,91.86206896551724,0
도봉구,쌍문1동,16785.47009,0,29,2333.15984,7.194307823,346,52,686,42,1,43,21445,4723,4.540546263,1084,37.37931034482759,3
도봉구,쌍문2동,16883.76161,0,29,2395.013831,7.0495466,313,65,748,15,0,15,18461,4027,4.584305935,1126,38.827586206896555,3
도봉구,쌍문3동,16254.34556,0,29,2301.044448,7.063898994,277,40,598,16,0,16,16934,3544,4.778216704,915,31.551724137931036,3
도봉구,쌍문4동,12974.4523,0,29,1677.103361,7.736226995,82,29,477,15,0,15,18348,3278,5.597315436,588,20.275862068965516,1
도봉구,방학1동,23091.12186,0,29,3226.751819,7.156150565,546,53,948,31,5,36,28410,6183,4.594856866,1547,53.3448275862069,0
도봉구,방학2동,10652.81774,0,29,1954.933363,5.449197368,649,71,726,23,0,23,19354,4601,4.206476853,1446,49.86206896551724,3
도봉구,방학3동,20098.28616,0,29,3086.310857,6.512074478,100,35,791,28,0,28,26500,5387,4.919250046,926,31.93103448275862,0
도봉구,창1동,19865.69091,0,29,2841.669066,6.990853067,208,27,895,22,3,25,24502,4872,5.029146141,1130,38.96551724137931,3
도봉구,창2동,28378.95495,0,29,3737.577968,7.59287303,312,46,853,25,0,25,28957,5498,5.2668243,1211,41.758620689655174,0
도봉구,창3동,10035.88708,0,29,1510.611047,6.643594393,308,35,518,12,0,12,13633,3041,4.483064781,861,29.689655172413794,1
도봉구,창4동,26855.20662,0,29,3503.614136,7.66500122,112,28,740,36,4,40,26121,4505,5.798224195,880,30.344827586206897,3
도봉구,창5동,18855.02786,0,29,2536.545879,7.433347851,167,29,741,18,1,19,24343,4621,5.267907379,937,32.310344827586206,3
도봉구,도봉1동,18056.48145,0,29,3736.800288,4.832070235,568,73,1159,37,0,37,20622,5930,3.477571669,1800,62.06896551724138,0
도봉구,도봉2동,18278.14207,0,29,3031.465085,6.02947471,470,69,1041,42,6,48,26359,6788,3.883176193,1580,54.48275862068966,0
노원구,월계1동,22899.68452,0,29,2722.435788,8.411469106,262,32,693,45,4,49,21580,4280,5.042056075,987,34.03448275862069,3
노원구,월계2동,19181.67485,0,29,3035.795822,6.318499652,1055,58,812,40,4,44,26066,6044,4.312706817,1925,66.37931034482759,0
노원구,월계3동,23355.59323,0,29,3340.725091,6.991174849,705,46,981,24,1,25,29384,6378,4.607086861,1732,59.724137931034484,0
노원구,공릉2동,46948.93341,0,29,4017.872447,11.68502336,300,37,857,52,2,54,42538,5931,7.17214635,1194,41.172413793103445,0
노원구,하계1동,25620.74915,0,29,3078.423217,8.322685785,1001,38,594,35,2,37,26982,4694,5.748189178,1633,56.310344827586206,3
노원구,하계2동,15284.38802,0,29,1812.613379,8.432238336,334,27,489,19,1,20,21642,3408,6.350352113,850,29.310344827586206,3
노원구,중계본동,19788.4596,0,29,1437.163726,13.76910595,126,25,421,19,0,19,23477,2620,8.960687023,572,19.724137931034484,1
노원구,중계1동,24737.13218,0,29,1979.435209,12.49706586,196,19,344,18,0,18,26580,2561,10.3787583,559,19.275862068965516,1
노원구,중계4동,15567.60285,0,29,2452.469771,6.347724662,696,30,602,7,0,7,19601,4138,4.736829386,1328,45.793103448275865,3
노원구,상계1동,34833.89299,0,29,5428.388213,6.416986337,543,52,1038,30,5,35,37857,7568,5.0022463,1633,56.310344827586206,0
노원구,상계2동,27723.48326,0,29,3350.453471,8.274546566,289,28,578,26,6,32,19629,3526,5.566931367,895,30.862068965517242,3
노원구,상계5동,17602.72136,0,29,2840.79694,6.196402536,495,56,996,19,0,19,23737,5242,4.528233499,1547,53.3448275862069,3
노원구,상계8동,17031.89735,0,29,1816.388383,9.376792712,53,7,599,14,1,15,22344,3055,7.31391162,659,22.724137931034484,1
노원구,상계9동,17150.19699,0,29,2135.550067,8.030810074,111,25,690,23,1,24,20071,3682,5.451113525,826,28.482758620689655,3
노원구,상계10동,12520.19326,0,29,1404.145122,8.916594918,74,12,483,22,1,23,18477,2922,6.323408624,569,19.620689655172413,1
노원구,상계3.4동,20443.07912,0,29,3202.631123,6.383213783,921,80,976,23,0,23,25324,6177,4.099724785,1977,68.17241379310344,0
노원구,상계6.7동,46883.34032,0,29,5453.030494,8.597666999,165,33,1107,30,0,30,32044,5271,6.07930184,1305,45.0,3
노원구,중계2.3동,30262.57991,0,29,4137.743224,7.313788765,1405,89,1100,31,4,35,33497,7665,4.37012394,2594,89.44827586206897,0
노원구,공릉1동,42155.76269,0,29,4980.866371,8.463540185,788,44,1084,44,4,48,37184,6878,5.406222739,1916,66.06896551724138,0
은평구,녹번동,32323.81088,13,20,4284.273029,7.54475979,587,53,1466,28,2,30,36884,7329,5.032610179,2106,92.3,0
은평구,불광1동,25468.65115,0,29,3859.13285,6.599578751,675,46,1422,34,2,36,38265,7985,4.792110207,2143,73.89655172413794,0
은평구,갈현1동,18347.66641,0,29,2423.374971,7.571121526,358,37,458,43,1,44,17151,3557,4.82175991,853,29.413793103448278,3
은평구,갈현2동,21610.91813,0,29,2579.081826,8.379306899,352,38,833,31,1,32,28176,5204,5.414296695,1223,42.172413793103445,3
은평구,구산동,24553.84125,7,24,3338.527606,7.354691692,415,47,882,32,0,32,32020,6382,5.017235976,1344,49.0,0
은평구,대조동,49555.08139,4,29,5872.977483,8.437812256,487,44,1000,28,0,28,26862,5199,5.166762839,1531,48.793103448275865,3
은평구,응암1동,22193.92446,0,29,2607.165504,8.512664204,323,24,905,22,1,23,33279,5410,6.151386322,1252,43.172413793103445,0
은평구,응암2동,16281.11049,0,29,1738.765042,9.363605829,355,26,550,34,0,34,28016,4152,6.747591522,931,32.10344827586207,3
은평구,신사1동,22677.29915,0,29,2850.469137,7.955637499,272,29,804,24,1,25,26984,5220,5.169348659,1105,38.10344827586207,3
은평구,신사2동,12222.7967,0,29,1564.151094,7.814332479,270,24,641,32,1,33,19497,3963,4.919757759,935,32.241379310344826,3
은평구,증산동,14754.51175,9,10,1798.7797,8.202511822,168,16,572,11,2,13,18647,3586,5.199944228,756,66.6,3
은평구,수색동,15359.82196,11,10,1422.719903,10.79609692,239,11,320,18,0,18,13210,2380,5.550420168,570,46.0,1
은평구,진관동,56427.00542,37,20,6224.244807,9.065678996,434,49,855,71,6,77,55034,8638,6.371150729,1338,29.900000000000006,0
은평구,불광2동,20838.43634,0,29,3004.641784,6.935414547,718,51,1220,25,0,25,27280,6134,4.44734268,1989,68.58620689655173,0
은평구,응암3동,24530.56316,0,29,3491.974071,7.024841155,608,47,1188,25,0,25,24313,5761,4.220274258,1843,63.55172413793103,0
은평구,역촌동,39673.22424,4,29,4961.918624,7.995541089,666,83,1419,49,0,49,44984,8750,5.141028571,2168,70.75862068965517,0
서대문구,천연동,16007.47951,2,25,2029.204827,7.888547918,372,6,622,37,1,38,17031,3279,5.193961574,1000,38.0,3
서대문구,홍제1동,24662.41281,0,29,3503.482058,7.039400345,267,18,842,22,1,23,24674,4838,5.100041339,1127,38.86206896551724,3
서대문구,홍제3동,13968.26933,0,29,2203.866814,6.338073261,284,9,716,43,1,44,17890,3947,4.532556372,1009,34.793103448275865,3
서대문구,홍제2동,9519.858323,0,29,1359.454222,7.002706065,251,9,449,9,1,10,13433,2811,4.778726432,709,24.448275862068964,1
서대문구,홍은1동,15412.39694,0,29,2262.409045,6.812383008,309,12,808,30,0,30,22825,4715,4.840933192,1129,38.93103448275862,3
서대문구,홍은2동,22383.28158,0,29,2785.156329,8.036633831,303,6,900,71,0,71,27499,5347,5.14288386,1209,41.689655172413794,0
서대문구,남가좌1동,7283.050342,0,29,749.0265794,9.723353673,118,5,299,13,1,14,16884,2299,7.344062636,422,14.551724137931034,1
서대문구,남가좌2동,21421.16433,0,29,2260.478005,9.476386978,441,7,832,27,0,27,30508,4988,6.11627907,1280,44.13793103448276,3
서대문구,북가좌1동,13915.558,0,29,1632.531151,8.523915754,154,10,395,13,0,13,17804,3106,5.732131359,559,19.275862068965516,1
서대문구,북가좌2동,31306.10804,0,29,4011.705618,7.803690255,476,10,1118,36,1,37,31244,6524,4.78908645,1604,55.310344827586206,0
서대문구,충현동,40869.19938,0,29,3532.849087,11.56833999,265,14,662,44,2,46,20316,3481,5.83625395,941,32.44827586206897,3
서대문구,북아현동,41199.05938,11,20,2990.998519,13.77434964,203,6,437,15,1,16,15875,2335,6.798715203,646,21.299999999999997,1
